"Datum","Rendite"
"2004-12-22",0.341780676715961
"2004-12-23",0.0463023243799999
"2004-12-27",-0.430529032291867
"2004-12-28",0.715399751454381
"2004-12-29",-0.00742357047190293
"2004-12-30",0.00824904232081419
"2004-12-31",-0.134317080811224
"2005-01-03",-0.81194201290064
"2005-01-04",-1.1671359238603
"2005-01-05",-0.362784295461942
"2005-01-06",0.350585857963615
"2005-01-07",-0.143117121832181
"2005-01-10",0.34227730818364
"2005-01-11",-0.609956731779035
"2005-01-12",0.398140393394201
"2005-01-13",-0.863012580860164
"2005-01-14",0.600456010380341
"2005-01-18",0.967477105199129
"2005-01-19",-0.949010450827119
"2005-01-20",-0.778299634576619
"2005-01-21",-0.641481592116473
"2005-01-24",-0.352778564192842
"2005-01-25",0.400432567132116
"2005-01-26",0.484411451057436
